pair_id,problem,type
1,6 + 3,easy
1,-17 + (-85) + 17 - (-28) + 89,hard
2,6 + 7,easy
2,17 - 10 + 14 - 52 - 31,hard
3,5 + 1,easy
3,92 - 88 + (-79) - 61 + (-42),hard
4,0 + 9,easy
4,88 - (-85) + 90 - 90 + 75,hard
5,3 + 8,easy
5,31 + (-49) - 35 - (-79) + (-27),hard
6,1 + 9,easy
6,-91 - (-10) + (-47) - 30 + (-16),hard
7,7 + 2,easy
7,-19 - 64 - (-50) - 14 - 32,hard
8,9 + 3,easy
8,-46 - 91 - 46 - (-56) - 62,hard
9,7 + 6,easy
9,90 - (-60) - (-18) + 11 - (-47),hard
10,8 + 0,easy
10,-11 - (-29) - (-91) - (-12) + 29,hard
11,2 + 0,easy
11,36 + 63 - 63 + (-67) - 23,hard
12,8 + 6,easy
12,-28 + (-88) + 62 - (-67) - (-52),hard
13,4 + 2,easy
13,72 + 14 - (-65) + 93 + 11,hard
14,4 + 9,easy
14,42 - 13 - (-73) - 37 + (-85),hard
15,2 + 6,easy
15,-48 + (-14) + 32 - 51 + 43,hard
16,6 + 2,easy
16,-14 - (-72) + (-34) + 70 - (-55),hard
17,3 + 9,easy
17,-18 - 90 + 29 - 21 + (-73),hard
18,8 + 2,easy
18,13 + 98 + 55 + 37 - (-38),hard
19,7 + 5,easy
19,60 + (-14) - 80 - 13 - (-38),hard
20,6 + 1,easy
20,31 + 13 + 11 + 13 - 84,hard
21,1 + 5,easy
21,-13 + 29 - 47 - 26 - 30,hard
22,5 + 6,easy
22,-32 + 83 - 84 - 23 + 45,hard
23,3 + 1,easy
23,98 + 39 - 44 - (-13) + 24,hard
24,2 + 3,easy
24,87 + 64 + 47 - (-10) - 95,hard
25,6 + 3,easy
25,61 - 68 + 28 + (-61) - (-18),hard
26,8 + 8,easy
26,78 + 51 - 59 - (-58) - (-11),hard
27,8 + 3,easy
27,-40 - 13 - (-98) + 29 + (-52),hard
28,6 + 8,easy
28,-11 - 47 - (-52) - 31 + 48,hard
29,7 + 3,easy
29,-25 - 13 - 64 + 66 - 14,hard
30,8 + 2,easy
30,53 - (-17) - 46 - 28 + 10,hard
31,8 + 3,easy
31,61 - (-32) - (-67) - 42 - (-79),hard
32,7 + 6,easy
32,95 - 45 + 28 + (-67) - 76,hard
33,6 + 5,easy
33,58 - (-62) + 19 + (-49) - 82,hard
34,4 + 0,easy
34,-72 - 11 + 92 - 97 + (-39),hard
35,0 + 0,easy
35,72 + 58 - (-54) + 17 + (-94),hard
36,7 + 0,easy
36,-54 + 81 - (-15) + (-11) + 88,hard
37,4 + 6,easy
37,61 - (-33) + 28 - (-82) - (-75),hard
38,2 + 7,easy
38,74 - (-76) + 14 - (-68) + 75,hard
39,9 + 1,easy
39,-83 - 14 - 61 + 37 + (-57),hard
40,9 + 6,easy
40,-74 + (-11) - (-50) - 53 + 52,hard
41,8 + 3,easy
41,73 - (-80) - (-35) + (-92) + 44,hard
42,1 + 1,easy
42,-68 - 91 + (-14) - (-49) + 53,hard
43,5 + 9,easy
43,-42 - (-14) + (-51) - 80 + 70,hard
44,4 + 0,easy
44,-92 + (-47) - (-40) - 18 + (-95),hard
45,3 + 2,easy
45,-45 - 68 - (-48) - 44 - (-87),hard
46,2 + 0,easy
46,20 + (-37) - (-81) + (-18) - (-42),hard
47,4 + 6,easy
47,27 - 37 + 40 + 29 - (-42),hard
48,5 + 8,easy
48,17 + 29 + (-84) - 89 + 92,hard
49,6 + 2,easy
49,-24 + 54 + 44 - 79 - (-14),hard
50,4 + 0,easy
50,-16 + 90 + 97 - 44 + 76,hard
51,4 + 6,easy
51,-90 + (-31) - 10 - (-66) + 80,hard
52,9 + 0,easy
52,-31 + (-96) - (-84) + (-76) - (-20),hard
53,3 + 7,easy
53,40 + 78 + 63 + 24 + (-67),hard
54,4 + 2,easy
54,-35 - 61 + 68 + (-26) - (-57),hard
55,1 + 2,easy
55,-65 - (-19) - (-10) - (-92) - (-17),hard
56,1 + 2,easy
56,15 + 35 + 96 + (-42) - 14,hard
57,3 + 8,easy
57,-79 - 64 + 38 + 11 + 52,hard
58,3 + 1,easy
58,-14 - 52 + 51 + 90 + (-63),hard
59,6 + 8,easy
59,-11 - 15 - (-70) - (-83) + 13,hard
60,5 + 2,easy
60,77 - 10 + 40 + 89 - 47,hard
61,3 + 2,easy
61,11 - 44 + 17 - (-31) + (-11),hard
62,4 + 3,easy
62,-47 + 51 + 44 - (-43) - (-61),hard
63,6 + 9,easy
63,33 + 63 - (-25) - 46 - (-24),hard
64,0 + 5,easy
64,-93 + 74 - 41 + 68 - 70,hard
65,1 + 4,easy
65,-71 - 65 + 66 + (-17) - 36,hard
66,3 + 0,easy
66,-29 - (-55) + 32 + (-64) + (-30),hard
67,5 + 6,easy
67,-19 + (-10) + (-81) + (-61) - 26,hard
68,9 + 3,easy
68,-39 + 27 + 15 - 67 - (-99),hard
69,8 + 0,easy
69,53 - (-44) - 61 - 66 + 17,hard
70,4 + 5,easy
70,64 + 47 + (-80) + 85 - 46,hard
71,0 + 4,easy
71,-46 + 18 - (-97) - 44 - 85,hard
72,7 + 5,easy
72,52 - 56 - 17 - (-92) - 22,hard
73,9 + 1,easy
73,-72 - 11 + (-59) + 92 + 55,hard
74,0 + 4,easy
74,57 - 41 + (-54) - (-65) + 34,hard
75,8 + 1,easy
75,-90 + (-44) - (-70) + 19 - (-95),hard
76,0 + 1,easy
76,77 + (-89) - (-15) + (-74) + (-37),hard
77,0 + 0,easy
77,-12 - 15 + (-11) - 29 - 49,hard
78,0 + 4,easy
78,-15 + 33 + 12 + (-97) + 81,hard
79,9 + 9,easy
79,-17 + 45 + (-15) + (-22) + 10,hard
80,3 + 0,easy
80,13 - (-68) + (-66) - (-18) - (-15),hard
81,1 + 5,easy
81,18 + (-97) - 23 - (-50) + (-88),hard
82,8 + 0,easy
82,12 - (-53) + 51 + (-15) + 42,hard
83,5 + 1,easy
83,-62 + (-50) + (-12) + (-18) + (-70),hard
84,1 + 3,easy
84,66 + (-21) + (-70) + 16 - (-49),hard
85,9 + 7,easy
85,45 - (-26) - (-83) + (-16) - (-31),hard
86,2 + 8,easy
86,51 - 83 - (-20) - (-15) - 18,hard
87,3 + 7,easy
87,-75 + 95 - (-14) - 95 + 55,hard
88,9 + 2,easy
88,47 + (-79) - (-95) + (-18) - 70,hard
89,0 + 4,easy
89,-88 - (-10) - (-54) + (-66) + 77,hard
90,8 + 9,easy
90,-53 + 21 - (-44) + (-16) + 17,hard
91,9 + 3,easy
91,-99 + (-92) + 13 + (-11) - 80,hard
92,5 + 9,easy
92,-72 - (-22) + 30 - 19 + 54,hard
93,6 + 2,easy
93,11 + 51 + 17 + (-82) - (-62),hard
94,8 + 6,easy
94,-72 - (-61) - 85 - (-83) + (-14),hard
95,0 + 3,easy
95,-75 - (-32) + 38 - (-33) + 19,hard
96,5 + 1,easy
96,11 - (-92) + 68 + 13 - (-17),hard
97,3 + 9,easy
97,-36 - 87 + 84 + (-41) + 19,hard
98,4 + 5,easy
98,-79 - 98 + (-30) - 12 - (-96),hard
99,7 + 6,easy
99,37 - 31 + (-69) - (-60) - (-64),hard
100,3 + 3,easy
100,-21 - 34 - 18 + 13 - (-16),hard
101,8 + 1,easy
101,-21 - 36 + (-74) - 79 - 73,hard
102,5 + 3,easy
102,-81 + (-80) - 13 - 40 - (-53),hard
103,5 + 4,easy
103,26 + 39 - 10 - (-23) - (-97),hard
104,9 + 4,easy
104,51 - 38 - 72 - 30 + (-87),hard
105,4 + 8,easy
105,-83 + (-91) + 43 - 52 + (-62),hard
106,0 + 4,easy
106,-38 - 88 + 78 + (-22) - 17,hard
107,2 + 2,easy
107,-99 - (-60) + (-36) - 50 + (-40),hard
108,8 + 4,easy
108,-86 + (-40) + (-70) + (-65) - 65,hard
109,9 + 3,easy
109,-11 - (-58) + (-11) - 46 - (-60),hard
110,2 + 5,easy
110,-13 + (-77) + (-37) + 43 + 53,hard
111,1 + 4,easy
111,14 - 14 - 79 + (-61) + 79,hard
112,2 + 7,easy
112,-58 + 92 - (-85) - 11 + 57,hard
113,3 + 5,easy
113,85 - (-13) - 55 - 83 - (-67),hard
114,9 + 4,easy
114,23 + (-26) + (-13) + 18 - (-62),hard
115,7 + 3,easy
115,84 + (-85) + 57 - 36 - (-95),hard
116,1 + 2,easy
116,64 + (-64) - (-74) + (-57) - (-73),hard
117,9 + 7,easy
117,-62 - 34 + (-77) - (-53) - (-10),hard
118,7 + 1,easy
118,11 - 14 - (-40) + 71 - 10,hard
119,4 + 7,easy
119,27 + 16 - (-18) + (-69) + 22,hard
120,7 + 8,easy
120,-89 + 51 - (-99) - (-54) - 11,hard
